lemma	pos	match	ids	headwords	parts
наро́д	n.m	none			
насле́дник	n.m	none			
наставля́ти	v	verb	0373-1-13	Наставляю	main
Наста́вница	n.f	none			
настоя́щий	adj	none			
находи́ти	v	none			
нача́ло	n.n	exact	0375-1-06	Начало	main
начина́ние	n.n	exact	0376-1-04	Начинаніе	main
наш	pron	none			
наше́ствие	n.n	none			
не	part	exact	1099-1-01	Hѣ	supplement
не́бо	n.n	none			
небе́сный	adj	none			
небу́рный	adj	none			
неве́рие	n.n	none			
неве́рный	adj/n	none			
неве́рующий	part/n	none			
Неве́ста	n.f	none			
Неневе́стный	adj	none			
невеще́ственный	adj	none			
Невмести́мый	adj/n	none			
невозвра́тно	adv	none			
недоуме́ти	v	none			
неду́г	n.m	none			
незы́блемый	adj	none			
неизрече́нный	adj	none			
неистощи́мый	adj	none			
немощны́й	adj/n	none			
ненаде́жный	adj/n	exact	0383-1-06	Ненадежный	main
неоску́дный	adj	exact	0384-1-06	Неоскудный	main
непобеди́мый	adj	none			
непоро́чный	adj	none			
непосты́дный	adj	exact	0385-2-11	Непостыдный	main
непреста́нный	adj	exact	0386-1-15	Непрестанный	main
несокруши́мый	adj	none			
несомне́нный	adj	none			
несумне́нный	adj	none			
неуязви́мый	adj	none			
нече́стие	n.n	exact	0390-1-15	Нечестїе	main
низложе́ние	n.n	none			
ни́щий	adj/n	exact	0392-1-15	Нищій	main
но	conj	none			
но́вый	adj	exact	1098-1-06	Новый	supplement
новопросвеще́нный	adj	none			
носи́ти	v	none			
нужда́	n.f	exact	0395-1-07;1098-2-05	Нужда;Нужда	main;supplement
ны́не	adv	none			
о, об	prep	exact	0396-3-02;0984-1-07	О;О	main;supplement
о	interj	exact	0396-3-02;0984-1-07	О;О	main;supplement
оба́че	conj/adv	none			
обе́т	n.m	none			
оби́димый	part/n	none			
оби́тель	n.f	none			
облича́ти	v	verb	0401-1-19	Обличаю	main
обличе́ние	n.n	exact	0401-1-20	Обличеніе	main
о́браз	n.m	exact	0403-2-07;1100-2-09	Образъ;Образъ	main;supplement
обрести́	v	none			
обстоя́ние	n.n	none			
обтека́ти	v	none			
огнь	n.m	exact	0411-2-08;1103-2-04	Огнь;Огнь	main;supplement
огражда́ти	v	none			
огражде́ние	n.n	exact	0412-1-03	Огражденіе	main
одея́ние	n.n	none			
Одиги́трия	n.prop	exact	0413-1-06	Одигитрія	main
одоле́ние	n.n	none			
одушевле́нный	adj	none			
оживля́ти	v	none			
озаря́ти	v	none			
о́ко	n.n	exact	0409-2-19;0415-2-08	Око;Око	main;main
омраче́нный	adj/part	none			
омыва́ти	v	none			
ору́жие	n.n	none			
освяще́ние	n.n	none			
освяти́ти	v	none			
осене́ние	n.n	exact	0430-1-09	Осѣненіе	main
осени́ти	v	none			
осиява́ти	v	none			
основа́ние	n.n	exact	0427-2-04;1110-1-11	Основаніе;Основаніе	main;supplement
оста́вити	v	none			
оставле́ние	n.n	exact	1110-2-07	Оставленіе	supplement
оставля́ти	v	none			
от	prep	exact	0799-1-21;1115-1-03	От;От€	main;supplement
отврати́ти	v	none			
отгна́ти, отгоня́ти	v	none			
оте́чество	n.n	none			
откры́ти	v	none			
открыва́ти	v	none			
отра́да	n.f	none			
Отрокови́ца	n.f	exact	0434-2-14	Отроковица	main
Оте́ц	n.m	exact	0431-2-13	Отецъ	main
отча́янный	adj/n	exact	1114-1-12	Отчаянный	supplement
очище́ние	n.n	none			
паде́ние	n.n	exact	0440-1-12	Паденіє	main
пала́та	n.f	exact	0441-1-14	Палата	main
па́мятовати	v	none			
паучи́на	n.f	none			
пе́ти	v	none			
пе́ние	n.n	none			
первонапи́санный	adj	none			
первообра́зный	adj/n	none			
Петр	n.prop	none			
печа́ль	n.f	exact	0458-1-05	Печаль	main
печа́льный	adj/n	exact	0458-1-07	Печальный	main
Пита́тельница	n.f	none			
пла́кати	v	exact	1120-1-06	Плакати	supplement
плод	n.m	exact	0469-2-18;1120-2-13	Плодъ;Плодъ	main;supplement
плодоно́сие	n.n	none			
плоть	n.f	none			
по	prep	exact	0495-1-15;1058-1-06	По роду и по;По	main;supplement
победи́ти	v	none			
побе́дный	adj/n	none			
пове́дати	v	none			
поги́бель	n.f	none			
под	prep	exact	0481-1-16;1124-1-04;1133-1-10	Под;Подъ;Подъ	main;supplement;supplement
подава́ти	v	none			
подоба́ти	v	exact	0478-2-08	Подобати	main
подо́бие	n.n	none			
покланя́тися	v	none			
покро́в	n.m	none			
покрыва́ти	v	none			
поле́зный	adj/n	none			
положи́ти	v	exact	0488-2-09	Положити	main
по́лчище	n.n	none			
поми́ловати	v	none			
по́мощь	n.f	none			
Помо́щница	n.f	none			
помышле́ние	n.n	exact	0492-1-12	Помышленіє	main
помяну́ти	v	none			
поруга́ти	v	none			
посеща́ти	v	none			
посеще́ние	n.n	none			
посла́ти	v	exact	0498-1-10	Послати	main
посрамля́ти	v	none			
поста́вити	v	none			
похвала́	n.f	none			
почита́ние	n.n	none			
почита́ти	v	verb	0508-2-04	Почитаю	main
пра́ведный	adj/n	exact	0509-2-11	Праведный	main
Правосла́вие	n.n	none			
правосла́вный	adj	exact	0511-1-03	Православный	main
Преблагослове́нный	adj	none			
пребыва́ти	v	none			
превы́шший	adj.comp	none			
прегреше́ние	n.n	none			
пред	prep	exact	0517-2-11;1133-1-04	Пред;Прѣдъ	main;supplement
предваря́ти	v	none			
Предве́чный	adj	none			
предгра́дие	n.n	none			
предста́тель	n.m	soft	0519-2-20	Предстател	main
Предста́тельница	n.f	none			
предста́тельство	n.n	none			
предстоя́ти	v	none			
преложи́ти	v	none			
Премилосе́рдый	adj	none			
преподо́бный	adj/n	exact	0526-2-10	Преподобный	main
Пресвяты́й	adj	none			
претворя́ти	v	none			
преукраше́нный	adj	none			
пречестны́й	adj	none			
Пречи́стый	adj	exact	0530-1-24	Пречистый	main
пречу́дный	adj	none			
преще́ние	n.n	none			
при	prep	exact	1000-1-02	при	supplement
прибега́ти	v	exact	0530-2-16	Прибѣгати	main
прибе́жище	n.n	none			
приима́ти	v	none			
призре́ние	n.n	none			
призре́ти	v	exact	0533-1-04	Призрѣти	main
прия́ти	v	none			
примире́ние	n.n	none			
принести́	v	none			
приноси́ти	v	none			
припада́ти	v	exact	0535-2-05	Припадати	main
при́сно	adv	exact	0537-1-17	Присно	main
приста́нище	n.n	none			
приступи́ти	v	none			
прису́щий	adj	none			
притека́ти	v	none			
приходи́ти	v	none			
прича́стный	adj	none			
провожда́ти	v	none			
прогоня́ти	v	none			
прозира́ти	v	none			
прозре́ние	n.n	none			
прозя́бнути	v	none			
промышле́ние	n.n	none			
пропове́дати	v	none			
проро́ческий	adj	none			
просвеща́ти	v	verb	0550-2-13	Просвѣщаю	main
просвеще́ние	n.n	none			
просла́вити, прославля́ти	v	exact	0551-2-09	Прославити	main
простре́ти	v	none			
проси́ти	v	exact	1132-1-09	Просити	supplement
проше́ние	n.n	exact	0557-1-22	Прошеніе	main
Путеводи́тельница	n.f	none			
путь	n.m	exact	0563-1-15;0563-2-02;0564-1-02	Путь;Путь;Путь	main;main;main
раб, раба́	n	exact	0570-3-02;0570-4-02;1137-2-02	Ралкъ или рабъ;Раба;Рабъ	main;main;supplement
ра́ди	postp	exact	0572-2-06	Ради	main
ра́дование	n.n	exact	0572-2-07	Радованіє	main
ра́дость	n.f	exact	1134-3-03	Радость	supplement
ра́достно	adv	exact	0573-1-02	Радостно	main
ра́доватися	v	exact	0572-2-09	Радоватися	main
ра́зве	prep/conj	none			
разруша́ти	v	none			
разруше́ние	n.n	none			
разсла́бленный	adj/n	exact	0577-1-07	Разслабленный	main
ра́зум	n.m	none			
разуме́ние	n.n	none			
ра́на	n.f	exact	0579-2-08	Рана	main
раско́л	n.m	exact	0579-2-18;0607-1-02	Расколъ;расколъ	main;main
растерза́ти	v	none			
расторга́ти	v	verb	0582-1-10	Расторгаю	main
ревнова́ти	v	none			
река́	n.f	none			
рещи́	v	none			
род	n.m	exact	0589-2-02	Родъ	main
роди́ти	v	none			
роди́тися	v	none			
Роди́тельница	n.f	none			
роса́	n.f	exact	0593-1-01;1137-1-11	Pocá;Poca	main;supplement
Росси́я	n.prop	none			
росси́йский	adj	none			
рука́	n.f	none			
ру́сский	adj	none			
ры́ба	n.f	exact	1137-2-09	Рыба	supplement
рыда́ти	v	none			
с, со	prep	exact	0689-1-07;0728-1-14;1033-2-14	C;C;Ико или со	main;main;supplement
сад	n.m	none			
сам	pron	exact	0609-2-12	Самъ	main
сбытие́	n.n	none			
свеи	n.pl	none			
свети́льник	n.m	none			
свети́ти	v	none			
све́тлый	adj	none			
свет	n.m	soft	0732-1-08	Съвѣтъ	main
светоприе́мный	adj	none			
свеща́	n.f	none			
